year,wgindex,maxsal,pia1,pia2,cola
1979,11479.46,22900,180,1085,0.099
1980,12513.46,25900,194,1171,0.143
1981,13773.1,29700,211,1274,0.112
1982,14531.34,32400,230,1388,0.074
1983,15239.24,35700,254,1528,0.035
1984,16135.07,37800,267,1612,0.035
1985,16822.51,39600,280,1691,0.031
1986,17321.82,42000,297,1790,0.013
1987,18426.51,43800,310,1866,0.042
1988,19334.04,45000,319,1922,0.04
1989,20099.55,48000,339,2044,0.047
1990,21027.98,51300,356,2145,0.054
1991,21811.6,53400,370,2230,0.037
1992,22935.42,55500,387,2333,0.03
1993,23132.67,57600,401,2420,0.026
1994,23753.53,60600,422,2545,0.028
1995,24705.66,61200,426,2567,0.026
1996,25913.9,62700,437,2635,0.029
1997,27426,65400,455,2741,0.021
1998,28861.44,68400,477,2875,0.013
1999,30469.84,72600,505,3043,0.025
2000,32154.82,76200,531,3202,0.035
2001,32921.92,80400,561,3381,0.026
2002,33252.09,84900,592,3567,0.014
2003,34064.95,87000,606,3653,0.021
2004,35648.55,87900,612,3689,0.027
2005,36952.94,90000,627,3779,0.041
2006,38651.41,94200,656,3955,0.033
2007,40405.48,97500,680,4100,0.023
2008,41334.97,102000,711,4288,0.058
2009,40711.61,106800,744,4483,0
2010,41673.83,106800,761,4586,0
2011,42979.61,106800,749,4517,0.036
2012,44321.67,110100,767,4624,0.017
2013,44888.16,113700,791,4768,0.015
2014,46342.54,117000,816,4917,0.017
2015,47908.91,118500,826,4980,0.02
2016,50534.32,123600,852.98,5141.57,0.022
2017,53106.52,129600,881.81,5315.35,0.024
2018,55692.81,136200,930.13,5606.63,0.026
2019,58293.66,142800,977.48,5892.01,0.027
2020,60876.07,149400,1025.08,6178.95,0.027
2021,63548.53,156000,1072.95,6467.51,0.027
2022,66236.63,162300,1120.48,6754.02,0.027
2023,68939.09,168900,1169.67,7050.52,0.027
2024,71648.39,174900,1219.15,7348.76,0.027
2025,74414.02,182100,1268.89,7648.59,0.027
2026,77286.4,189300,1318.76,7949.18,0.027
2027,80300.57,196500,1369.66,8256.02,0.027
2028,83464.41,204300,1422.53,8574.7,0.027
2029,86752.91,212100,1478.01,8909.11,0.027
2030,90162.3,220500,1536.24,9260.13,0.027
2031,93705.68,229200,1596.77,9624.98,0.027
2032,97388.31,238200,1659.52,10003.24,0.027
2033,101205.94,247500,1724.74,10396.37,0.027
2034,105152.97,257400,1792.53,10804.95,0.027
2035,109232.9,267300,1862.79,11228.5,0.027
2036,113471.14,277800,1935.44,11666.41,0.027
2037,117885.17,288600,2010.54,12119.07,0.027
2038,122459.11,299700,2088.55,12589.29,0.027
2039,127222.77,311400,2169.79,13079.01,0.027
2040,132184.46,323700,2253.98,13586.48,0.027
2041,137352.87,336000,2341.66,14114.99,0.027
2042,142737.1,349200,2432.98,14665.48,0.027
2043,148346.67,363000,2528.11,15238.9,0.027
2044,154176.7,377100,2627.21,15836.26,0.027
2045,160235.84,392100,2730.46,16458.63,0.027
2046,166517.08,407400,2837.77,17105.45,0.027
2047,173044.55,423300,2949.29,17777.69,0.027
2048,179827.9,440100,3064.91,18474.58,0.027
2049,186895.14,457200,3185.05,19198.78,0.027
2050,194202.74,475200,3309.91,19951.37,0.027
2051,201776.64,493800,3439.98,20735.46,0.027
2052,209645.93,513000,3574.49,21546.22,0.027
2053,217801.16,533100,3713.89,22386.52,0.027
2054,226251.85,553800,3858.74,23259.6,0.027
2055,235007.79,575400,4008.84,24164.4,0.027
2056,244079.09,597900,4164.38,25101.97,0.027
2057,253524.95,621000,4325.54,26073.42,0.027
2058,263311.02,645000,4492.51,27079.85,0.027
2059,273501.15,669900,4666.37,28127.85,0.027
2060,284058.3,695700,4846.49,29213.58,0.027
2061,295022.95,722700.0,5034.1,30344.1,0.027
2062,306381.33,750600.0,5228.4,31515.4,0.027
2063,318146.37,779400.0,5430.2,32731.9,0.027
2064,330331.38,809400.0,5639.2,33992.1,0.027
2065,342950.04,840600.0,5855.8,35297.4,0.027
2066,356050.73,872700.0,6080.1,36649.3,0.027
2067,369616.26,906000.0,6312.3,38049.3,0.027
2068,383698.64,940800.0,6553.5,39502.8,0.027
2069,398317.56,976500.0,6803.1,41007.8,0.027
2070,413493.46,1013700.0,7062.3,42570.2,0.027
2071,429288.91,1052400.0,7331.4,44192.2,0.027
2072,445687.75,1092600.0,7610.7,45875.9,0.027
2073,462713.02,1134300.0,7901.5,47628.3,0.027
2074,480434.93,1177500.0,8203.3,49447.7,0.027
2075,498835.59,1222500.0,8516.7,51336.6,0.027
2076,517940.99,1269300.0,8842.9,53302.8,0.027
2077,537726.33,1317900.0,9181.5,55344.3,0.027
2078,558267.48,1368600.0,9533.2,57464.0,0.027
2079,579649.12,1420800.0,9897.4,59659.1,0.027
2080,601849.69,1475100.0,10275.4,61938.1,0.027
2081,624900.53,1531500.0,10669.0,64310.4,0.027
2082,648834.22,1590300.0,11077.6,66773.4,0.027
2083,673749.45,1651200.0,11501.9,69330.9,0.027
2084,699621.43,1714500.0,11942.4,71986.2,0.027
2085,726556.86,1780200.0,12401.0,74750.5,0.027
2086,754529.30,1848600.0,12877.2,77620.9,0.027
2087,783578.67,1919700.0,13373.0,80609.3,0.027
2088,813824.81,1993500.0,13887.8,83712.8,0.027
2089,845238.45,2070300.0,14422.5,86935.7,0.027
